Date,Cash,Holdings,Total Assets
2008-09-05,528246.8150593638,460521.6554888487,988768.4705482125
2008-09-08,528075.14731282,472020.9375140071,1000096.084826827
2008-09-09,526420.4588477015,453251.3485043049,979671.8073520064
2008-09-10,526079.8430430293,456130.7416495383,982210.5846925676
2008-09-11,525865.8523318172,463213.900814116,989079.7531459332
2008-09-12,525283.5667396188,463127.060685426,988410.6274250448
2008-09-15,524057.4194443822,441222.19403225183,965279.613476634
2008-09-16,524014.709608376,449953.67425724864,973968.3838656247
2008-09-17,523639.7607448697,428245.1881841123,951884.948928982
2008-09-18,523573.53213626146,448928.484446615,972502.0165828764
2008-09-19,521638.4720991254,469545.0677726269,991183.5398717523
2008-09-22,519746.76880937815,450678.7547584772,970425.5235678554
2008-09-23,519317.4001028091,443915.33304579556,963232.7331486046
2008-09-24,519202.604736045,442399.2186153829,961601.8233514279
2008-09-25,518964.0132910758,448711.4245149791,967675.437806055
2008-09-26,518434.7811650783,450520.70642998815,968955.4875950664
2008-09-29,517072.4719886333,418879.7937615067,935952.26575014
2008-09-30,517012.8494452983,434977.6905414313,951990.5399867296
2008-10-01,516450.20575232804,432920.53330667317,949370.7390590012
2008-10-02,516121.32881219685,411272.48227642477,927393.8110886216
2008-10-03,515990.3686543256,402992.1521040946,918982.5207584202
2008-10-06,515835.9824901372,388380.16043788195,904216.1429280192
2008-10-07,515815.0141483098,367509.174530223,883324.1886785328
2008-10-08,515790.57555921376,363800.30681188405,879590.8823710978
2008-10-09,515781.1703182012,337327.25989589095,853108.4302140921
2008-10-10,515781.1703182012,339541.75493371487,855322.925251916
2008-10-13,515781.1703182012,374005.97570489347,889787.1460230947
2008-10-14,515563.2303226739,370283.46596197784,885846.6962846518
2008-10-15,515345.5413709432,336339.65115211904,851685.1925230622
2008-10-16,515196.17117984593,349780.677244246,864976.8484240919
2008-10-17,514853.91598780453,347163.8488841355,862017.76487194
2008-10-20,514296.8225981742,362934.55335603654,877231.3759542108
2008-10-21,513089.9776008427,353564.3456863761,866654.3232872188
2008-10-22,512062.65286400914,335229.1285162568,847291.781380266
2008-10-23,511848.2440958321,330432.647623539,842280.8917193711
2008-10-24,511334.315277189,319903.02044838667,831237.3357255757
2008-10-27,511250.4094210565,307436.4102586508,818686.8196797073
