strategy,tickers,rows_total,trades_total,load_s,signal_s,sim_s,total_s
MACDStrategy,478,2307229,93367,0.6161884000102873,1.1376478000001953,73.234758099994,74.98859430000448
BenchmarkStrategy,478,2307707,4780,0.6973341999882905,0.14026829998419998,73.70142900001065,74.53903149998314
MovingAverageStrategy,478,2307229,1392269,0.5937454000059006,0.5476987999945777,73.04943789999743,74.1908820999979
VolatilityBreakoutStrategy,478,2298147,358466,0.5965858000045046,0.6064303999983167,72.73969730000408,73.9427135000069
RSIStrategy,478,2301476,69227,0.6312110999933793,0.6649893999938286,71.67684280000049,72.9730432999877
