ticker,rows,trades,load_s,signal_s,sim_s,total_s
CCL,5013,735,0.001332400000137568,0.0012909000006402493,0.16216499999973166,0.16478830000050948
CDNS,5013,795,0.0012460999996619648,0.0012556000001495704,0.16107599999941158,0.16357769999922311
CDW,2878,457,0.0011961000000155764,0.0012401000003592344,0.0778507000004538,0.08028690000082861
CE,5000,781,0.0009539000002405373,0.0011162999999214662,0.1364902000004804,0.1385604000006424
CF,4860,788,0.0012760999998135958,0.0011918999998670188,0.1297671000002083,0.13223509999988892
CFG,2565,397,0.0015321000000767526,0.0012765999999828637,0.06911889999992127,0.07192759999998088
CHD,5013,787,0.0010695999999370542,0.001219600000695209,0.16147610000007262,0.16376530000070488
CHRW,5013,724,0.001154599999608763,0.0012480000004870817,0.16223040000022593,0.16463300000032177
CHTR,3753,568,0.001202700000249024,0.0013400999996520113,0.10159190000013041,0.10413470000003144
CI,5013,819,0.0012643000000025495,0.0013114000003042747,0.1602984999999535,0.16287420000026032
CINF,5013,798,0.0013146000001142966,0.0012882999999419553,0.16124060000038298,0.16384350000043924
CL,5013,778,0.001271199999791861,0.0013885999997000908,0.16138649999993504,0.164046299999427
CLX,5013,746,0.0013094999994791579,0.0013361000001168577,0.15994450000016514,0.16259009999976115
CMA,5013,775,0.001333399999566609,0.0012927000007039169,0.1601950999993278,0.16282119999959832
CMCSA,5013,820,0.0011627000003500143,0.001249199999620032,0.1617681999996421,0.16418009999961214
CME,5013,786,0.0012292999999772292,0.001256200000170793,0.1608195999997406,0.16330509999988863
CMG,4745,734,0.0011452999997345614,0.0013037000007898314,0.12828220000028523,0.13073120000080962
CMI,5013,821,0.0012885000005553593,0.0012397000000419212,0.16364810000050056,0.16617630000109784
CMS,5013,828,0.0012603000004673959,0.001293499999519554,0.16094870000051742,0.16350250000050437
CNC,5013,745,0.001223500000378408,0.001261299999896437,0.16227710000021034,0.16476190000048518
CNP,5013,806,0.0012098999995941995,0.0012643000000025495,0.1619223999996393,0.16439659999923606
COF,5013,785,0.0012541999994937214,0.001276799999686773,0.16238609999982145,0.16491709999900195
COO,5013,737,0.0014702999997098232,0.001328299999840965,0.16336130000036064,0.16615989999991143
COP,5013,853,0.0011967000000367989,0.001262499999938882,0.1617938999997932,0.1642530999997689
COR,5013,812,0.0011580000000321888,0.0012314000005062553,0.16183450000062294,0.16422390000116138
COST,5013,828,0.001314000000093074,0.0012790000000677537,0.16047559999969963,0.16306859999986045
CPAY,3514,518,0.0015591999999742256,0.0012734000001728418,0.09534520000033808,0.09817780000048515
CPB,5013,731,0.0012959000005139387,0.0012974000001122477,0.1605533000001742,0.1631466000008004
CPRT,5013,784,0.0012355999997453182,0.0012452000000848784,0.16217169999981706,0.16465249999964726
CPT,5013,822,0.001350800000182062,0.0013027999993937556,0.1609072000001106,0.16356079999968642
