ticker,rows,trades,load_s,signal_s,sim_s,total_s
CAT,5032,3066,0.0015797999994902057,0.001236099999914586,0.16154280000046128,0.16435869999986608
CB,5032,3248,0.0010345000000597793,0.0010794999998324784,0.16230429999995977,0.16441829999985202
CBOE,3661,2369,0.0012565999995786115,0.0012768000005962676,0.09894230000008974,0.10147570000026462
CBRE,5032,3109,0.0014399000001503737,0.0012317999999140739,0.16233700000066165,0.1650087000007261
CCI,5032,3024,0.0013306000000739004,0.001191399999697751,0.16123049999987416,0.1637524999996458
CCL,5032,2615,0.0011659000001600361,0.0011062000003221328,0.16234850000000733,0.1646206000004895
CDNS,5032,3331,0.0015693999994255137,0.0012629999991986551,0.16140380000069854,0.1642361999993227
CDW,2897,1899,0.001122399999985646,0.0011279000000286032,0.07776190000004135,0.0800122000000556
CE,5019,3055,0.0010639000001901877,0.001052299999173556,0.13449359999958688,0.13660979999895062
CF,4879,3002,0.0011295000003883615,0.0010098000002471963,0.1305910999999469,0.13273040000058245
CFG,2584,1525,0.0010866000002351939,0.0010124999998879503,0.06992859999991197,0.07202770000003511
CHD,5032,3150,0.001462300000639516,0.0012033000002702465,0.16177419999985432,0.16443980000076408
CHRW,5032,2796,0.0011133999996673083,0.0011036999994757934,0.16233360000023822,0.16455069999938132
CHTR,3772,2290,0.0014363000000230386,0.0010724999992817175,0.10178749999977299,0.10429629999907775
CI,5032,3195,0.0010672999997041188,0.0010687000003599678,0.16481079999994108,0.16694680000000517
CINF,5032,3096,0.001193799999782641,0.001120999999329797,0.16271140000026207,0.1650261999993745
CL,5032,3136,0.0013068999996903585,0.0011922999992748373,0.1631004999999277,0.1655996999988929
CLX,5032,2939,0.001203900000291469,0.0011266999999861582,0.16147110000019893,0.16380170000047656
CMA,5032,2818,0.001176599999780592,0.0011267999998381129,0.16267450000032113,0.16497789999993984
CMCSA,5032,3034,0.0012759000001096865,0.0011500999999043415,0.162449800000104,0.16487580000011803
CME,5032,3050,0.001313300000219897,0.0011130000002594898,0.16379840000081458,0.16622470000129397
CMG,4764,2981,0.001159699999334407,0.0011171000005560927,0.1293658000004143,0.1316426000003048
CMI,5032,3043,0.0011082000000897096,0.001106400000026042,0.1620017999994161,0.16421639999953186
CMS,5032,3232,0.0010880999998335028,0.0011046999998143292,0.16174259999934293,0.16393539999899076
CNC,5032,2852,0.001430399999662768,0.0011919999997189734,0.16389669999989565,0.1665190999992774
CNP,5032,3086,0.0011856999999508844,0.0012049000006300048,0.16176999999970576,0.16416060000028665
COF,5032,2953,0.0011479000004328554,0.0011201999996046652,0.16582970000035857,0.1680978000003961
COO,5032,2920,0.001461599999856844,0.0011993999996775528,0.16200930000013614,0.16467029999967053
COP,5032,2856,0.0011415000008128118,0.0011335999997754698,0.16278979999970034,0.16506490000028862
COR,5032,3154,0.0011747999997169245,0.0011293999996269122,0.1616081000001941,0.16391229999953794
COST,5032,3379,0.0013275999999677879,0.0011671000002024812,0.1627834000000803,0.16527810000025056
CPAY,3533,2304,0.0012237000000823173,0.0012265000004845206,0.09564269999918906,0.0980928999997559
CPB,5032,2845,0.0010891000001720386,0.0011383999999452499,0.16349579999950947,0.16572329999962676
CPRT,5032,3231,0.001396799999383802,0.0011942000000999542,0.1613233999996737,0.16391439999915747
CPT,5032,3241,0.0012868000003436464,0.0011604999999690335,0.1622164000000339,0.16466370000034658
CRL,5032,3084,0.0011752999998861924,0.0011075000002165325,0.16206049999982497,0.1643432999999277
CRM,5032,3171,0.0012966000003871159,0.00114800000028481,0.16417229999933625,0.16661690000000817
CSCO,5032,2910,0.0010311000005458482,0.001096500000130618,0.16415520000009565,0.1662828000007721
CSGP,5032,3185,0.001235199999428005,0.001157499999862921,0.16228680000040185,0.16467949999969278
CSX,5032,3229,0.001422899999852234,0.0012004000000160886,0.1614743999998609,0.16409769999972923
