Date,Close,signal
2005-01-04,9.178611755371094,0.0
2005-01-05,9.06200885772705,0.0
2005-01-06,9.1431245803833,0.0
2005-01-07,9.138054847717285,0.0
2005-01-10,9.16340160369873,0.0
2005-01-11,9.153263092041016,0.0
2005-01-12,9.084823608398438,0.0
2005-01-13,9.115241050720215,0.0
2005-01-14,9.221704483032227,0.0
2005-01-18,9.305353164672852,0.0
2005-01-19,9.257186889648438,0.0
2005-01-20,9.236913681030273,0.0
2005-01-21,9.138054847717285,0.0
2005-01-24,9.181144714355469,0.0
2005-01-25,9.196355819702148,0.0
2005-01-26,9.305353164672852,0.0
2005-01-27,9.366188049316406,0.0
2005-01-28,9.35351276397705,0.0
2005-01-31,9.4346284866333,0.0
2005-02-01,9.472648620605469,0.0
2005-02-02,9.568973541259766,1.0
2005-02-03,9.639946937561035,1.0
2005-02-04,9.863011360168457,1.0
2005-02-07,9.885824203491211,1.0
2005-02-08,9.98215389251709,1.0
2005-02-09,10.015108108520508,1.0
2005-02-10,10.116498947143555,1.0
2005-02-11,10.212824821472168,1.0
2005-02-14,10.266048431396484,1.0
2005-02-15,10.154520988464355,1.0
2005-02-16,10.222962379455566,1.0
2005-02-17,10.139307975769043,1.0
2005-02-18,10.012571334838867,1.0
2005-02-22,9.956804275512695,1.0
2005-02-23,10.050593376159668,1.0
2005-02-24,10.032848358154297,1.0
2005-02-25,10.048053741455078,1.0
2005-02-28,10.139307975769043,1.0
2005-03-01,10.260981559753418,1.0
2005-03-02,10.238166809082031,1.0
2005-03-03,10.187472343444824,1.0
2005-03-04,10.354774475097656,1.0
2005-03-07,10.69190788269043,1.0
2005-03-08,10.618399620056152,1.0
2005-03-09,10.354774475097656,1.0
2005-03-10,10.316753387451172,1.0
2005-03-11,10.136778831481934,1.0
2005-03-14,10.3851900100708,1.0
2005-03-15,10.30660629272461,1.0
2005-03-16,10.245777130126953,1.0
2005-03-17,10.339559555053711,1.0
2005-03-18,10.281265258789062,1.0
2005-03-21,10.349702835083008,1.0
2005-03-22,10.073978424072266,1.0
2005-03-23,10.015267372131348,1.0
2005-03-24,10.071430206298828,1.0
2005-03-28,10.114829063415527,1.0
2005-03-29,9.938676834106445,1.0
2005-03-30,10.03313159942627,1.0
2005-03-31,10.17099380493164,1.0
2005-04-01,10.222055435180664,1.0
2005-04-04,10.211840629577637,1.0
2005-04-05,10.30119514465332,1.0
2005-04-06,10.329276084899902,1.0
2005-04-07,10.359912872314453,1.0
2005-04-08,10.270563125610352,1.0
2005-04-11,10.270563125610352,1.0
2005-04-12,10.41097354888916,1.0
2005-04-13,10.290985107421875,1.0
2005-04-14,10.114829063415527,1.0
2005-04-15,9.862082481384277,1.0
2005-04-18,9.908038139343262,1.0
