Date,Close,signal
2005-01-04,57.67970275878906,0.0
2005-01-05,57.5921630859375,0.0
2005-01-06,57.395206451416016,0.0
2005-01-07,56.62369155883789,0.0
2005-01-10,57.29670333862305,0.0
2005-01-11,56.8206787109375,0.0
2005-01-12,56.08751678466797,0.0
2005-01-13,55.13550567626953,0.0
2005-01-14,55.13550567626953,0.0
2005-01-18,55.69904327392578,0.0
2005-01-19,55.21207809448242,0.0
2005-01-20,55.02608108520508,0.0
2005-01-21,55.04248046875,0.0
2005-01-24,55.23397445678711,0.0
2005-01-25,55.22304153442383,0.0
2005-01-26,55.62245559692383,0.0
2005-01-27,55.20661163330078,0.0
2005-01-28,54.84550094604492,0.0
2005-01-31,56.00544357299805,0.0
2005-02-01,56.55259323120117,0.0
2005-02-02,56.32826614379883,0.0
2005-02-03,56.24619674682617,0.0
2005-02-04,56.37204360961914,0.0
2005-02-07,56.361087799072266,0.0
2005-02-08,56.09296798706055,0.0
2005-02-09,55.4473876953125,0.0
2005-02-10,55.75922775268555,0.0
2005-02-11,55.398101806640625,0.0
2005-02-14,55.425472259521484,0.0
2005-02-15,55.989036560058594,0.0
2005-02-16,55.33793640136719,0.0
2005-02-17,54.77436065673828,0.0
2005-02-18,54.13968276977539,0.0
2005-02-22,53.03445816040039,0.0
2005-02-23,53.313472747802734,0.0
2005-02-24,54.15406036376953,0.0
2005-02-25,55.04959487915039,0.0
2005-02-28,54.39582824707031,0.0
2005-03-01,55.6923942565918,0.0
2005-03-02,55.697898864746094,0.0
2005-03-03,55.60450744628906,0.0
2005-03-04,57.51091766357422,0.0
2005-03-07,57.85700607299805,0.0
2005-03-08,57.450477600097656,0.0
2005-03-09,56.12091827392578,0.0
2005-03-10,56.4066276550293,0.0
2005-03-11,55.60450744628906,0.0
2005-03-14,56.06051254272461,0.0
2005-03-15,55.56602478027344,0.0
2005-03-16,55.48910903930664,0.0
2005-03-17,55.54405975341797,0.0
2005-03-18,54.97270965576172,0.0
2005-03-21,55.055091857910156,0.0
2005-03-22,53.96181106567383,0.0
2005-03-23,54.14857482910156,1.0
2005-03-24,54.01673889160156,1.0
2005-03-28,54.39582824707031,1.0
2005-03-29,54.50022506713867,1.0
2005-03-30,55.73086166381836,1.0
2005-03-31,56.07148361206055,1.0
2005-04-01,55.428672790527344,1.0
2005-04-04,56.011070251464844,1.0
2005-04-05,56.483543395996094,1.0
2005-04-06,56.74175262451172,0.0
2005-04-07,56.80767059326172,0.0
2005-04-08,56.241798400878906,0.0
2005-04-11,56.274742126464844,0.0
2005-04-12,57.763580322265625,0.0
2005-04-13,57.24715042114258,0.0
2005-04-14,56.4505729675293,0.0
2005-04-15,55.653934478759766,1.0
2005-04-18,56.65934753417969,1.0
2005-04-19,56.11542892456055,1.0
2005-04-20,54.7309455871582,1.0
2005-04-21,55.236392974853516,1.0
2005-04-22,54.88479232788086,1.0
2005-04-25,55.6319580078125,1.0
2005-04-26,55.428672790527344,1.0
2005-04-27,56.999961853027344,1.0
2005-04-28,56.36815643310547,1.0
2005-04-29,56.83515548706055,1.0
2005-05-02,56.813175201416016,1.0
2005-05-03,56.5000114440918,1.0
2005-05-04,57.46696090698242,1.0
2005-05-05,57.19224166870117,1.0
2005-05-06,56.752708435058594,1.0
2005-05-09,57.13731002807617,1.0
2005-05-10,56.19234848022461,1.0
2005-05-11,56.31322479248047,1.0
2005-05-12,55.5715446472168,1.0
2005-05-13,55.450660705566406,1.0
2005-05-16,56.813175201416016,1.0
2005-05-17,57.3955078125,1.0
2005-05-18,58.0712776184082,1.0
2005-05-19,57.878990173339844,1.0
2005-05-20,57.42298126220703,1.0
2005-05-23,57.20873260498047,1.0
2005-05-24,56.85164260864258,1.0
2005-05-25,56.49451446533203,1.0
2005-05-26,57.06037521362305,1.0
2005-05-27,56.86173629760742,1.0
2005-05-31,56.359649658203125,1.0
2005-06-01,57.231449127197266,1.0
2005-06-02,57.41904067993164,1.0
2005-06-03,56.938987731933594,1.0
2005-06-06,57.03830337524414,1.0
2005-06-07,56.59688949584961,1.0
2005-06-08,56.624507904052734,1.0
2005-06-09,56.63555145263672,1.0
2005-06-10,56.712772369384766,1.0
2005-06-13,56.817649841308594,1.0
2005-06-14,57.51288604736328,1.0
2005-06-15,57.97636413574219,1.0
2005-06-16,57.73358154296875,1.0
2005-06-17,58.820587158203125,1.0
2005-06-20,58.770938873291016,1.0
2005-06-21,58.71025085449219,1.0
2005-06-22,58.73230743408203,1.0
2005-06-23,57.91013717651367,1.0
2005-06-24,57.66183853149414,1.0
2005-06-27,57.85497283935547,1.0
2005-06-28,58.8040657043457,1.0
2005-06-29,58.699222564697266,1.0
2005-06-30,58.026023864746094,1.0
2005-07-01,58.257774353027344,1.0
2005-07-05,58.72678756713867,1.0
2005-07-06,58.00947189331055,1.0
2005-07-07,58.346073150634766,1.0
2005-07-08,58.74334716796875,1.0
2005-07-11,58.953033447265625,1.0
2005-07-12,60.12833786010742,1.0
2005-07-13,60.59736633300781,1.0
2005-07-14,60.79597473144531,1.0
2005-07-15,60.76292419433594,1.0
2005-07-18,60.387664794921875,1.0
2005-07-19,60.72978973388672,1.0
2005-07-20,61.954769134521484,1.0
2005-07-21,60.9339485168457,1.0
2005-07-22,60.95048904418945,1.0
2005-07-25,60.64149475097656,1.0
2005-07-26,61.005699157714844,1.0
2005-07-27,60.520111083984375,1.0
2005-07-28,60.73532485961914,1.0
2005-07-29,59.87453079223633,1.0
2005-08-01,60.078651428222656,1.0
2005-08-02,60.76292419433594,1.0
2005-08-03,60.64702606201172,1.0
2005-08-04,59.731056213378906,1.0
2005-08-05,59.228912353515625,1.0
2005-08-08,59.39445495605469,1.0
2005-08-09,59.87453079223633,1.0
2005-08-10,59.36134719848633,1.0
2005-08-11,60.453880310058594,1.0
2005-08-12,59.97936248779297,1.0
2005-08-15,60.051090240478516,1.0
2005-08-16,59.18477249145508,1.0
2005-08-17,59.53791809082031,1.0
2005-08-18,59.455142974853516,1.0
2005-08-19,59.80831527709961,1.0
2005-08-22,59.846923828125,1.0
2005-08-23,59.201332092285156,1.0
2005-08-24,58.704708099365234,1.0
2005-08-25,59.14064407348633,1.0
2005-08-26,58.357120513916016,1.0
2005-08-29,58.64402389526367,1.0
2005-08-30,58.35588073730469,1.0
2005-08-31,59.08180236816406,0.0
2005-09-01,59.79109191894531,0.0
2005-09-02,59.320091247558594,0.0
2005-09-06,60.11245346069336,0.0
2005-09-07,60.28981399536133,0.0
2005-09-08,59.69136047363281,0.0
2005-09-09,60.0515251159668,0.0
2005-09-12,59.685791015625,0.0
2005-09-13,58.80470275878906,0.0
2005-09-14,58.68283462524414,0.0
2005-09-15,58.294921875,0.0
2005-09-16,59.20924758911133,0.0
2005-09-19,58.82135772705078,0.0
2005-09-20,58.82688903808594,0.0
2005-09-21,58.256126403808594,0.0
2005-09-22,58.3780517578125,0.0
2005-09-23,58.54429626464844,0.0
2005-09-26,58.36141586303711,0.0
2005-09-27,58.3226203918457,0.0
2005-09-28,58.1397705078125,0.0
2005-09-29,59.2923583984375,0.0
2005-09-30,58.57752990722656,0.0
2005-10-03,58.77147674560547,0.0
2005-10-04,57.718624114990234,0.0
2005-10-05,56.9594612121582,0.0
2005-10-06,56.93730545043945,0.0
2005-10-07,56.79322814941406,0.0
2005-10-10,56.59928894042969,0.0
2005-10-11,56.46076583862305,0.0
2005-10-12,56.71010208129883,0.0
2005-10-13,57.186641693115234,0.0
2005-10-14,57.591182708740234,0.0
2005-10-17,56.93730545043945,0.0
2005-10-18,56.62142562866211,0.0
2005-10-19,57.56346130371094,0.0
2005-10-20,56.9483757019043,0.0
2005-10-21,57.363975524902344,0.0
2005-10-24,58.17854690551758,0.0
2005-10-25,57.879310607910156,0.0
2005-10-26,58.073265075683594,0.0
2005-10-27,57.70199203491211,0.0
2005-10-28,59.098411560058594,0.0
2005-10-31,59.6137580871582,0.0
2005-11-01,58.7991943359375,0.0
2005-11-02,59.3034553527832,0.0
2005-11-03,59.01530075073242,0.0
2005-11-04,59.25914001464844,0.0
2005-11-07,59.447509765625,0.0
2005-11-08,59.0540771484375,0.0
2005-11-09,59.901885986328125,0.0
2005-11-10,61.17641830444336,0.0
2005-11-11,61.39805603027344,1.0
2005-11-14,60.93259048461914,1.0
2005-11-15,60.561344146728516,1.0
2005-11-16,60.25654602050781,1.0
2005-11-17,60.53362274169922,1.0
2005-11-18,60.86057662963867,1.0
2005-11-21,60.82730484008789,1.0
2005-11-22,61.386993408203125,1.0
2005-11-23,61.13764190673828,1.0
2005-11-25,61.42025375366211,1.0
2005-11-28,61.66962432861328,1.0
2005-11-29,61.5249137878418,1.0
2005-11-30,60.211856842041016,1.0
2005-12-01,60.996402740478516,1.0
2005-12-02,61.13546371459961,1.0
2005-12-05,61.20221710205078,1.0
2005-12-06,60.82945251464844,1.0
2005-12-07,60.23970031738281,1.0
2005-12-08,60.13397216796875,1.0
2005-12-09,60.990840911865234,1.0
2005-12-12,60.729312896728516,1.0
2005-12-13,61.47486877441406,1.0
2005-12-14,61.57500457763672,1.0
2005-12-15,61.274566650390625,1.0
2005-12-16,61.71968078613281,1.0
2005-12-19,60.990840911865234,1.0
2005-12-20,61.17440414428711,1.0
2005-12-21,61.26344680786133,1.0
2005-12-22,61.41921615600586,1.0
2005-12-23,61.39694595336914,1.0
2005-12-27,60.89622116088867,1.0
2005-12-28,61.01305389404297,1.0
