Date,Close,signal
2006-12-18,28.59000015258789,0.0
2006-12-19,27.790000915527344,0.0
2006-12-20,27.780000686645508,0.0
2006-12-21,26.690000534057617,0.0
2006-12-22,27.530000686645508,0.0
2006-12-26,27.100000381469727,1.0
2006-12-27,28.809999465942383,0.0
2006-12-28,29.860000610351562,1.0
2006-12-29,29.84000015258789,1.0
2007-01-03,28.5,0.0
2007-01-04,28.75,0.0
2007-01-05,28.149999618530273,0.0
2007-01-08,28.899999618530273,0.0
2007-01-09,29.270000457763672,0.0
2007-01-10,29.15999984741211,0.0
2007-01-11,29.34000015258789,0.0
2007-01-12,29.530000686645508,0.0
2007-01-16,29.270000457763672,0.0
2007-01-17,29.020000457763672,0.0
2007-01-18,28.31999969482422,0.0
2007-01-19,27.709999084472656,0.0
2007-01-22,27.8799991607666,0.0
2007-01-23,28.850000381469727,0.0
2007-01-24,29.149999618530273,1.0
2007-01-25,29.43000030517578,0.0
2007-01-26,29.139999389648438,0.0
2007-01-29,31.139999389648438,0.0
2007-01-30,32.720001220703125,1.0
2007-01-31,32.369998931884766,1.0
2007-02-01,32.65999984741211,0.0
2007-02-02,31.200000762939453,0.0
2007-02-05,32.779998779296875,0.0
2007-02-06,32.810001373291016,1.0
2007-02-07,33.439998626708984,0.0
2007-02-08,33.790000915527344,0.0
2007-02-09,32.86000061035156,0.0
2007-02-12,33.099998474121094,0.0
2007-02-13,34.279998779296875,0.0
2007-02-14,43.720001220703125,1.0
2007-02-15,44.97999954223633,1.0
2007-02-16,45.2599983215332,0.0
2007-02-20,49.209999084472656,0.0
2007-02-21,51.189998626708984,1.0
2007-02-22,49.20000076293945,0.0
2007-02-23,49.43000030517578,0.0
2007-02-26,51.849998474121094,0.0
2007-02-27,49.0099983215332,0.0
2007-02-28,47.75,0.0
2007-03-01,47.880001068115234,0.0
2007-03-02,46.27000045776367,0.0
2007-03-05,44.130001068115234,0.0
2007-03-06,46.29999923706055,0.0
2007-03-07,47.619998931884766,0.0
2007-03-08,51.869998931884766,0.0
2007-03-09,52.060001373291016,1.0
2007-03-12,57.90999984741211,0.0
