Date,Close,signal
2005-01-04,37.567806243896484,0.0
2005-01-05,37.1873779296875,0.0
2005-01-06,37.6143798828125,0.0
2005-01-07,37.25725555419922,0.0
2005-01-10,37.80846405029297,0.0
2005-01-11,37.03211212158203,0.0
2005-01-12,37.5367431640625,0.0
2005-01-13,37.5755615234375,0.0
2005-01-14,38.65468978881836,0.0
2005-01-18,38.79443359375,1.0
2005-01-19,38.2509880065918,0.0
2005-01-20,38.14228820800781,0.0
2005-01-21,37.901649475097656,0.0
2005-01-24,37.36595916748047,0.0
2005-01-25,37.81623458862305,0.0
2005-01-26,37.839515686035156,0.0
2005-01-27,37.69977569580078,0.0
2005-01-28,38.181114196777344,0.0
2005-01-31,38.58481979370117,1.0
2005-02-01,39.454345703125,0.0
2005-02-02,40.00554275512695,0.0
2005-02-03,39.710533142089844,0.0
2005-02-04,40.160831451416016,0.0
2005-02-07,40.05213165283203,0.0
2005-02-08,39.656192779541016,0.0
2005-02-09,39.03509521484375,0.0
2005-02-10,40.04437255859375,0.0
2005-02-11,40.09870147705078,0.0
2005-02-14,40.60334396362305,0.0
2005-02-15,41.56602096557617,0.0
2005-02-16,41.82221984863281,0.0
2005-02-17,41.57377243041992,0.0
2005-02-18,41.643653869628906,0.0
2005-02-22,40.99151611328125,0.0
2005-02-23,42.19486999511719,0.0
2005-02-24,43.010047912597656,0.0
2005-02-25,43.662174224853516,0.0
2005-02-28,42.81595230102539,0.0
2005-03-01,42.885826110839844,0.0
2005-03-02,42.388954162597656,0.0
2005-03-03,42.536468505859375,0.0
2005-03-04,43.801937103271484,0.0
2005-03-07,43.04887008666992,0.0
2005-03-08,43.12649917602539,0.0
2005-03-09,43.46807861328125,0.0
2005-03-10,42.63739776611328,0.0
2005-03-11,42.373416900634766,0.0
2005-03-14,41.620361328125,0.0
2005-03-15,41.50390625,0.0
2005-03-16,40.0909538269043,0.0
2005-03-17,40.61886978149414,0.0
2005-03-18,40.75083923339844,0.0
